key,company,title,bucket,location,comp,posted,age\_days,score,new,url  
ashby:snowflake:e91c99b3-175c-44bf-b30f-3adf815c2aa3,Snowflake,"Technical Account Manager, Observe",Sales,US-NY-New York; US-NJ Metro-Remote; US-NY-Remote,$148K – $194.2K,2026-08-20,15,61,NEW,https://jobs.ashbyhq.com/snowflake/e91c99b3-175c-44bf-b30f-3adf815c2aa3  
ashby:vanta:3caab04a-8548-442c-8c22-d670e7be2931,Vanta,"Revenue Enablement Manager, Account Management",Enablement,Remote U.S.; Remote,"$133K – $156K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-08-18,17,61,NEW,https://jobs.ashbyhq.com/vanta/3caab04a-8548-442c-8c22-d670e7be2931  
gh:vercel:6144467004,Vercel,Marketing Operations Manager,Marketing Ops,"Hybrid - San Francisco, Austin",,2026-08-17,18,61,NEW,https://job-boards.greenhouse.io/vercel/jobs/6144467004  
gh:abnormalsecurity:7824578003,Abnormal Security,Sales Operations Analyst,RevOps,Remote - USA,,2026-08-03,32,60,NEW,https://abnormal.ai/careers/jobs/7824578003?gh\_jid=7824578003  
gh:affirm:7833171003,Affirm,GTM Strategy & Operations Lead,GTM Ops,Remote US,,2026-08-18,17,60,NEW,https://job-boards.greenhouse.io/affirm/jobs/7833171003  
gh:gusto:8157333,Gusto,GTM AI Agent Builder,GTM Ops,"Atlanta, GA - Remote; Denver, CO - Hybrid; New York, New York, United States; Phoenix, AZ - Remote; San Francisco, CA - Hybrid",,2026-08-26,9,60,NEW,https://job-boards.greenhouse.io/gusto/jobs/8157333  
ashby:headway:8c5c0e09-0b8b-4a6f-834d-1681846d055e,Headway,Business Operations Manager,BizOps,Remote; Remote,$121.6K – $190K,2026-08-10,25,60,NEW,https://jobs.ashbyhq.com/headway/8c5c0e09-0b8b-4a6f-834d-1681846d055e  
gh:hightouch:6117961004,Hightouch,"Sales Development Representative, Ad Studio",SDR/BDR,Remote,,2026-07-16,50,60,NEW,https://job-boards.greenhouse.io/hightouch/jobs/6117961004  
gh:hightouch:6122752004,Hightouch,"Strategic Finance Manager, GTM",GTM Ops,Remote (North America),,2026-07-22,44,60,NEW,https://job-boards.greenhouse.io/hightouch/jobs/6122752004  
gh:melio:7820779003,Melio,Sales Development Representative,SDR/BDR,"Remote, US",,2026-07-29,37,60,NEW,https://job-boards.greenhouse.io/melio/jobs/7820779003  
gh:mercury:6147716004,Mercury,AI Ops Lead - Forward Deploy,AI Ops,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",,2026-08-26,9,60,NEW,https://job-boards.greenhouse.io/mercury/jobs/6147716004  
gh:mercury:6131020004,Mercury,Sales Development Representative,SDR/BDR,"San Francisco, CA, New York, NY, Portland, OR, or Remote within United States",,2026-07-30,36,60,NEW,https://job-boards.greenhouse.io/mercury/jobs/6131020004  
ashby:notion:72532ca0-eb7d-4d9e-b982-50f52614fca9,Notion,"Strategic Finance, GTM",GTM Ops,"San Francisco, California; Remote",,2026-08-13,22,60,NEW,https://jobs.ashbyhq.com/notion/72532ca0-eb7d-4d9e-b982-50f52614fca9  
ashby:notion:be994bb4-c680-4f57-b3bd-7e689175317f,Notion,"GTM Compensation Lead, Commercial Operations",GTM Ops,"San Francisco, California; New York, New York; Remote",,2026-08-31,4,60,NEW,https://jobs.ashbyhq.com/notion/be994bb4-c680-4f57-b3bd-7e689175317f  
ashby:plaid:bf4450b7-6ed5-49ec-a2ad-a1e0ffbcbe50,Plaid,Business Operations,BizOps,New York City Office; Remote,$162K – $237K • Offers Equity,2026-07-27,39,60,NEW,https://jobs.ashbyhq.com/plaid/bf4450b7-6ed5-49ec-a2ad-a1e0ffbcbe50  
ashby:ramp:ea9f6e2d-8981-417a-ac96-87d421ccbf4c,Ramp,"Business Operations Lead, Compensation & Equity",BizOps,"New York, NY (HQ); Remote",$200K – $250K • Offers Equity,2026-07-28,38,60,NEW,https://jobs.ashbyhq.com/ramp/ea9f6e2d-8981-417a-ac96-87d421ccbf4c  
ashby:ramp:196e4e25-c452-430d-8b2f-36a40f88a2ae,Ramp,GTM Business Systems Analyst – Post Sales,GTM Ops,"New York, NY (HQ); San Francisco, CA; Miami, FL; Remote",$145.8K – $182.2K • Offers Equity,2026-09-04,0,60,NEW,https://jobs.ashbyhq.com/ramp/196e4e25-c452-430d-8b2f-36a40f88a2ae  
ashby:ramp:696bc715-794c-4a0c-967d-d7f8b637b392,Ramp,GTM Business Systems Engineer – Post Sales,GTM Ops,"New York, NY (HQ); San Francisco, CA; Remote",$122.2K – $183.4K • Offers Equity,2026-09-03,1,60,NEW,https://jobs.ashbyhq.com/ramp/696bc715-794c-4a0c-967d-d7f8b637b392  
ashby:ramp:6310f1b3-1ae2-476c-b4ce-affe530ede26,Ramp,"GTM Business Systems Engineer, Quote-to-Cash",GTM Ops,"New York, NY (HQ); San Francisco, CA; Remote",$122.2K – $183.4K • Offers Equity,2026-09-03,1,60,NEW,https://jobs.ashbyhq.com/ramp/6310f1b3-1ae2-476c-b4ce-affe530ede26  
gh:stripe:8147961,Stripe,"Program Manager, GTM Planning",GTM Ops,"Chicago, Remote",,2026-08-31,4,60,NEW,https://stripe.com/jobs/search?gh\_jid=8147961  
gh:stripe:8042309,Stripe,"Program Manager, GTM Strategic Programs",GTM Ops,"US-Remote, Chicago",,2026-08-11,24,60,NEW,https://stripe.com/jobs/search?gh\_jid=8042309  
gh:tebra:4719577005,Tebra,Sales Development Representative,SDR/BDR,United States - Remote,,2026-08-05,30,60,NEW,https://job-boards.greenhouse.io/tebra/jobs/4719577005  
gh:toast:8051420,Toast,Business Development Representative - Retail,SDR/BDR,Remote,,2026-08-05,30,60,NEW,https://careers.toasttab.com/jobs?gh\_jid=8051420  
ashby:zapier:7dd68291-3696-4fd0-a5d0-24ab73d22fff,Zapier,"Manager, GTM Analytics",GTM Ops,NAMER; Remote,$174.2K – $261.3K • Offers Equity • Offers Bonus • Multiple Ranges,2026-08-26,9,60,NEW,https://jobs.ashbyhq.com/zapier/7dd68291-3696-4fd0-a5d0-24ab73d22fff  
ashby:1password:4d30b4e9-c586-458c-a982-70a6ca3289a1,1Password,"Account Executive, SMB - Austin",AE,"Austin, TX; Remote",,2026-07-09,57,59,NEW,https://jobs.ashbyhq.com/1password/4d30b4e9-c586-458c-a982-70a6ca3289a1  
gh:apolloio:6137423004,Apollo.io,"Account Executive, SMB",AE,"Hybrid, Austin",,2026-08-06,29,59,NEW,https://job-boards.greenhouse.io/apolloio/jobs/6137423004  
gh:apolloio:6181138004,Apollo.io,"Sales Manager, SMB Account Executive (Austin)",AE,"Hybrid, Austin",,2026-09-03,1,59,NEW,https://job-boards.greenhouse.io/apolloio/jobs/6181138004  
lever:artera:96ee3bdf-e1f4-4297-9b6b-14e7e784bbcd,Artera,Sales Account Executive (Virginia/West Virginia),AE,Remote-US remote,$165-185K,2026-08-04,31,59,NEW,https://jobs.lever.co/artera/96ee3bdf-e1f4-4297-9b6b-14e7e784bbcd  
ashby:bestow:16a07e5b-d6b6-49a4-8fd0-0399d4da820b,Bestow,Enterprise Account Executive,AE,"Remote, US; Remote",$150K – $300K • Offers Equity • Offers Commission,2026-07-14,52,59,NEW,https://jobs.ashbyhq.com/bestow/16a07e5b-d6b6-49a4-8fd0-0399d4da820b  
ashby:commure:205af23a-f5d3-4139-af9f-7e9330eca083,Commure,"Mid-Market Account Executive, Agentic Practice Manager",AE,"United States; Lehi, UT; New York City, NY; Mountain View, CA; Remote",$150K – $250K • Offers Equity • Offers Commission,2026-08-06,29,59,NEW,https://jobs.ashbyhq.com/commure/205af23a-f5d3-4139-af9f-7e9330eca083  
ashby:commure:ad9a498c-2976-4a06-bc02-a26ecd8069f7,Commure,Enterprise Account Executive (Midwest),AE,United States; Remote,$112.5K – $131K • $112.5K – $131K Commission,2026-08-26,9,59,NEW,https://jobs.ashbyhq.com/commure/ad9a498c-2976-4a06-bc02-a26ecd8069f7  
ashby:commure:302cfa46-d01a-4c14-af61-bc428fe776ca,Commure,Enterprise Account Executive (South East),AE,United States; North Carolina; Virginia; South Carolina; Remote,$118K – $140K • Offers Equity • $118K – $140K Commission • Offers Bonus • Multiple Ranges,2026-09-02,2,59,NEW,https://jobs.ashbyhq.com/commure/302cfa46-d01a-4c14-af61-bc428fe776ca  
gh:hightouch:6166606004,Hightouch,"Enterprise Account Executive - Texas, USA",AE,Remote (Texas),,2026-08-27,8,59,NEW,https://job-boards.greenhouse.io/hightouch/jobs/6166606004  
ashby:medely:2391a690-bcf7-465b-973e-819efb9826e8,Medely,Enterprise Account Executive ,AE,Remote; Remote,$113K – $125K • Offers Equity • Offers Commission,2026-07-13,53,59,NEW,https://jobs.ashbyhq.com/medely/2391a690-bcf7-465b-973e-819efb9826e8  
ashby:nabla:d22330cc-0ce4-4616-bf50-b9d2e6b40e08,Nabla,Mid-Market Account Executive,AE,Anywhere in the United States; Remote,$90K – $120K • Offers Equity • $90K – $120K Commission,2026-08-14,21,59,NEW,https://jobs.ashbyhq.com/nabla/d22330cc-0ce4-4616-bf50-b9d2e6b40e08  
gh:okta:8054427,Okta,Strategic Account Executive ,AE,Texas,,2026-07-10,56,59,NEW,https://www.okta.com/company/careers/opportunity/8054427?gh\_jid=8054427  
ashby:plaid:b2856bcf-37a5-45bd-8c8b-d9f863be7e3e,Plaid,Account Executive - Insurance (Named),AE,New York City Office; Seattle Office; Raleigh Office; San Francisco HQ; Remote,$309.9K – $360K • Offers Equity,2026-07-21,45,59,NEW,https://jobs.ashbyhq.com/plaid/b2856bcf-37a5-45bd-8c8b-d9f863be7e3e  
ashby:plaid:0dc976f0-a12d-4843-b78c-7d0e14409537,Plaid,Account Executive - Payments,AE,San Francisco HQ; New York City Office; Remote,$150K – $165K • Offers Equity • $150K – $165K Commission,2026-07-09,57,59,NEW,https://jobs.ashbyhq.com/plaid/0dc976f0-a12d-4843-b78c-7d0e14409537  
ashby:plaid:3a0611c3-7b8e-4962-bb48-dcd7ba04f352,Plaid,Account Executive - Fraud,AE,San Francisco HQ; Raleigh Office; New York City Office; Remote,$150K – $165K • Offers Equity • $150K – $165K Commission,2026-07-10,56,59,NEW,https://jobs.ashbyhq.com/plaid/3a0611c3-7b8e-4962-bb48-dcd7ba04f352  
ashby:plaid:15bb46d9-ed78-47c2-80b4-df72f7e4cf5c,Plaid,Account Executive - Credit,AE,New York City Office; Seattle Office; San Francisco HQ; Remote,$240K – $330K • Offers Equity,2026-07-10,56,59,NEW,https://jobs.ashbyhq.com/plaid/15bb46d9-ed78-47c2-80b4-df72f7e4cf5c  
ashby:plaid:732e7ecc-e653-4e7c-aa8d-767de14fde65,Plaid,"Account Executive Manager, SMB",AE,Raleigh Office; Remote,"$245,088 – $331,200 • Offers Equity • Offers Commission",2026-08-18,17,59,NEW,https://jobs.ashbyhq.com/plaid/732e7ecc-e653-4e7c-aa8d-767de14fde65  
ashby:plaid:b4ec08cf-64c6-41ea-b98e-32b35bf20e4b,Plaid,"Account Executive Manager, SMB",AE,New York City Office; Remote,$266.4K – $360K • Offers Equity • Offers Commission,2026-08-18,17,59,NEW,https://jobs.ashbyhq.com/plaid/b4ec08cf-64c6-41ea-b98e-32b35bf20e4b  
ashby:ramp:707d5f91-bcf7-42b2-a0e6-8130bf13e56b,Ramp,Account Executive | Strategic ,AE,"San Francisco, CA; Remote",$310K – $407K • Offers Equity • Offers Commission • 45/55 split,2026-08-11,24,59,NEW,https://jobs.ashbyhq.com/ramp/707d5f91-bcf7-42b2-a0e6-8130bf13e56b  
ashby:ramp:623abf6f-84c6-49d2-8276-385c1ffec097,Ramp,"Manager, Account Executive | Commercial",AE,"New York, NY (HQ); San Francisco, CA; Remote",$237K – $346K • Offers Equity • Multiple Ranges,2026-09-03,1,59,NEW,https://jobs.ashbyhq.com/ramp/623abf6f-84c6-49d2-8276-385c1ffec097  
gh:rubrik:8139407,Rubrik,"Healthcare Account Executive, TOLA",AE,"Houston, TX",,2026-08-26,9,59,NEW,https://www.rubrik.com/company/careers/departments/job.8139407?gh\_jid=8139407  
gh:rubrik:8092042,Rubrik,SLED Account Executive (ATX),AE,"Austin, TX",,2026-07-29,37,59,NEW,https://www.rubrik.com/company/careers/departments/job.8092042?gh\_jid=8092042  
ashby:snowflake:d7af975f-e2ee-4df7-b946-97320a1ba5c7,Snowflake,"Account Executive, Enterprise Acquisition",AE,US-IL-Remote; Remote,"$134,000 – $175,875",2026-07-29,37,59,NEW,https://jobs.ashbyhq.com/snowflake/d7af975f-e2ee-4df7-b946-97320a1ba5c7  
ashby:snowflake:e093b7c6-3c7a-47ce-860c-7c65a6f56b8d,Snowflake,"Enterprise Account Executive, Observability",AE,US-NY-New York; US-NJ Metro-Remote; US-NY-New York City-Remote,"$134,000 – $175,875",2026-08-11,24,59,NEW,https://jobs.ashbyhq.com/snowflake/e093b7c6-3c7a-47ce-860c-7c65a6f56b8d  
ashby:snowflake:1d940622-e9ae-4b70-80ac-81a55d350fa7,Snowflake,"Account Executive, Commercial",AE,US-CO-Denver; Remote,"$84,000 – $110,250",2026-08-25,10,59,NEW,https://jobs.ashbyhq.com/snowflake/1d940622-e9ae-4b70-80ac-81a55d350fa7  
ashby:snowflake:9b8581c8-764c-44cf-aa40-f866e650cf6e,Snowflake,"Enterprise Account Executive, Observe",AE,US-GA-Remote; US-FL-Remote; US-SC-Remote; US-NC-Remote; Remote,"$134,000 – $175,875",2026-08-28,7,59,NEW,https://jobs.ashbyhq.com/snowflake/9b8581c8-764c-44cf-aa40-f866e650cf6e  
ashby:snowflake:911f7715-3143-4948-82e0-5fd0bcc5726a,Snowflake,"Account Executive, Enterprise",AE,US-CA-Dublin; Remote,"$156,000 – $204,750",2026-08-28,7,59,NEW,https://jobs.ashbyhq.com/snowflake/911f7715-3143-4948-82e0-5fd0bcc5726a  
ashby:snowflake:472ec137-a049-4f78-92eb-997d1a63bf7f,Snowflake,"Enterprise Account Executive, Observe",AE,US-UT-Remote; US-AZ-Remote; US-NV-Remote; Remote,"$134,000 – $175,875",2026-08-31,4,59,NEW,https://jobs.ashbyhq.com/snowflake/472ec137-a049-4f78-92eb-997d1a63bf7f  
ashby:snowflake:e70eb2d2-0029-442b-8f7f-edde190d91f0,Snowflake,"Account Executive, Enterprise",AE,US-NC-Remote; Remote,"$156,000 – $204,750",2026-09-01,3,59,NEW,https://jobs.ashbyhq.com/snowflake/e70eb2d2-0029-442b-8f7f-edde190d91f0  
ashby:snowflake:89588286-28f8-495c-99d6-cfe4a169c006,Snowflake,"Account Executive, Enterprise Acquisition",AE,US-WA-Remote; Remote,"$134,000 – $175,875",2026-09-02,2,59,NEW,https://jobs.ashbyhq.com/snowflake/89588286-28f8-495c-99d6-cfe4a169c006  
ashby:synthesia:3f5dca7c-d43c-49c3-8c94-d5f249e4a82f,Synthesia,Mid Market Account Executive,AE,Austin; Remote,,2026-07-22,44,59,NEW,https://jobs.ashbyhq.com/synthesia/3f5dca7c-d43c-49c3-8c94-d5f249e4a82f  
gh:toast:8106826,Toast,Bilingual Strategic Cuisines Account Executive - Spanish,AE,"East Houston, TX",,2026-08-05,30,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8106826  
gh:toast:8174263,Toast,Bilingual Strategic Cuisines Account Executive (Spanish),AE,"South Houston, TX",,2026-09-02,2,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8174263  
gh:toast:8179685,Toast,"Bilingual Strategic Cuisines Account Executive (Spanish) - Brownsville, TX",AE,"Brownsville, TX",,2026-09-04,0,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8179685  
gh:toast:8094646,Toast,"Bilingual Strategic Cuisines Account Executive (Spanish) - South Austin, TX",AE,"Austin, TX",,2026-07-29,37,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8094646  
gh:toast:8146078,Toast,Bilingual Strategic Cuisines Flex Account Executive - Brownsville TX (Spanish),AE,"Brownsville, TX",,2026-08-20,15,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8146078  
gh:toast:8105159,Toast,"Bilingual Strategic Cuisines Flex Account Executive - Dallas, TX (Spanish)",AE,"Dallas, TX",,2026-08-04,31,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8105159  
gh:toast:8096841,Toast,"Bilingual Strategic Cuisines Flex Account Executive - Houston, TX (Spanish)",AE,"Houston, TX",,2026-08-04,31,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8096841  
gh:toast:8146082,Toast,"Bilingual Strategic Cuisines Flex Account Executive - San Angelo, TX (Spanish)",AE,"San Angelo, TX",,2026-08-20,15,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8146082  
gh:toast:8076756,Toast,"Midland/Odessa, TX - Strategic Cuisines Account Executive - Spanish",AE,"Midland/Odessa, TX",,2026-07-21,45,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8076756  
gh:toast:8161736,Toast,"Territory Account Executive, Retail - Austin East (Spanish/Bilingual)",AE,"Austin, TX",,2026-09-02,2,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8161736  
gh:toast:8047287,Toast,"Territory Account Executive, Retail - El Paso (Spanish/Bilingual)",AE,"El Paso, TX",,2026-07-07,59,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8047287  
gh:toast:8170758,Toast,"Territory Account Executive , SMB - Austin, TX",AE,"Austin, TX",,2026-09-02,2,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8170758  
gh:toast:8179881,Toast,"Territory Account Executive , SMB - NW Houston, TX",AE,"Houston, TX",,2026-09-04,0,59,NEW,https://careers.toasttab.com/jobs?gh\_jid=8179881  
ashby:vanta:ffc75064-fbdc-4cd1-bf0e-a4ace20dce81,Vanta,"Account Executive, Early Stage",AE,Remote U.S.; Remote,"$130K – $153K • Offers Equity • This role is also eligible for medical benefits, 401(k) plan, and other company perk programs.",2026-07-24,42,59,NEW,https://jobs.ashbyhq.com/vanta/ffc75064-fbdc-4cd1-bf0e-a4ace20dce81  
gh:vercel:6123443004,Vercel,"Commercial Account Executive, Install Base",AE,"Hybrid - San Francisco, New York City, Austin",,2026-07-23,43,59,NEW,https://job-boards.greenhouse.io/vercel/jobs/6123443004  
gh:vercel:6112143004,Vercel,"Enterprise Account Executive, Retail",AE,"Hybrid - San Francisco, New York City, Austin",,2026-07-08,58,59,NEW,https://job-boards.greenhouse.io/vercel/jobs/6112143004  
gh:vercel:6142097004,Vercel,"Scaled Commercial Account Executive, Install base ",AE,"Hybrid - San Francisco, New York City, Austin",,2026-08-12,23,59,NEW,https://job-boards.greenhouse.io/vercel/jobs/6142097004  
ashby:zapier:d4576c10-a27e-47fa-a056-30c898b9e672,Zapier,"Account Executive, Mid Market",AE,NAMER; Remote,$140K – $170K • Offers Equity • Offers Commission • Multiple Ranges,2026-08-26,9,59,NEW,https://jobs.ashbyhq.com/zapier/d4576c10-a27e-47fa-a056-30c898b9e672  
gh:zscaler:5198860007,Zscaler,"Account Executive - Majors - Dallas, TX",AE,"Remote - Texas, USA",,2026-07-31,35,59,NEW,https://job-boards.greenhouse.io/zscaler/jobs/5198860007  
gh:zscaler:5187970007,Zscaler,Account Executive - Majors - Texas,AE,"Remote - Texas, USA",,2026-07-20,46,59,NEW,https://job-boards.greenhouse.io/zscaler/jobs/5187970007  
gh:zscaler:5199285007,Zscaler,"Specialist Account Executive, ZT Branch - Majors, East + South ",AE,"Remote - Massachusetts, USA; Remote - New York, USA; Remote - North Carolina, USA; Remote - Texas, USA",,2026-08-07,28,59,NEW,https://job-boards.greenhouse.io/zscaler/jobs/5199285007  
gh:abnormalsecurity:7806082003,Abnormal Security,"Customer Success Manager, Enterprise (New York)",CS,Remote - USA,,2026-07-23,43,58,NEW,https://abnormal.ai/careers/jobs/7806082003?gh\_jid=7806082003  
gh:abnormalsecurity:7806116003,Abnormal Security,"Customer Success Manager, Fed/SLED",CS,Remote - USA,,2026-07-23,43,58,NEW,https://abnormal.ai/careers/jobs/7806116003?gh\_jid=7806116003  
gh:carrotfertility:6138104004,Carrot Fertility,Customer Success Executive,CS,Remote,,2026-08-10,25,58,NEW,https://job-boards.greenhouse.io/carrotfertility/jobs/6138104004  
gh:carrotfertility:6143586004,Carrot Fertility,"Customer Success Executive, Taft-Hartley Labor",CS,Remote,,2026-08-14,21,58,NEW,https://job-boards.greenhouse.io/carrotfertility/jobs/6143586004  
gh:gitlab:8742716002,GitLab,Customer Success Architect,CS,"Remote, United States",,2026-08-24,11,58,NEW,https://job-boards.greenhouse.io/gitlab/jobs/8742716002  
gh:gitlab:8637426002,GitLab,"Customer Success Engineer, LATAM (Spanish, Portugese) ",CS,"Remote, Brazil; Remote, Mexico; Remote, United States",,2026-07-22,44,58,NEW,https://job-boards.greenhouse.io/gitlab/jobs/8637426002  
ashby:gravie:bac8c110-ee26-4cbd-928d-93029cf91937,Gravie,Temporary ICHRA Implementation Manager,Implementation,"Minneapolis, MN; Remote; Remote",$28 per hour,2026-07-24,42,58,NEW,https://jobs.ashbyhq.com/gravie/bac8c110-ee26-4cbd-928d-93029cf91937  
gh:gusto:8175123,Gusto,Sales Implementation Associate ,Implementation,"Atlanta, GA - Remote; Denver, CO - Hybrid; Phoenix, AZ - Remote",,2026-09-03,1,58,NEW,https://job-boards.greenhouse.io/gusto/jobs/8175123  
gh:gusto:8175108,Gusto,Sales Onboarding Advocate ,Implementation,"Atlanta, GA - Remote; Denver, CO - Hybrid; Phoenix, AZ - Remote",,2026-09-03,1,58,NEW,https://job-boards.greenhouse.io/gusto/jobs/8175108  
gh:hightouch:6142201004,Hightouch,"Growth Marketing Manager, Ad Studio",Growth,Remote (North America),,2026-08-12,23,58,NEW,https://job-boards.greenhouse.io/hightouch/jobs/6142201004  
ashby:infinitus:bf48f90a-5877-48cf-afd4-fe2ccaa19fc8,Infinitus,Customer Success Manager,CS,Remote; Remote,,2026-09-02,2,58,NEW,https://jobs.ashbyhq.com/infinitus/bf48f90a-5877-48cf-afd4-fe2ccaa19fc8  
lever:lyrahealth:35bffe8b-ac9f-4749-ba4c-5f3a4d2bd77d,Lyra Health,"\[Contract\] Accreditation Solutions Consultant, Clinical Strategy",Other,United States remote,,2026-08-24,11,58,NEW,https://jobs.lever.co/lyrahealth/35bffe8b-ac9f-4749-ba4c-5f3a4d2bd77d  
gh:qventus:4330930009,Qventus,Implementation Engineer,Implementation,"Remote, United States",,2026-07-30,36,58,NEW,https://www.qventus.com/company/working-qventus/job?gh\_jid=4330930009  
gh:rubrik:8139767,Rubrik,Customer Resilience Manager - Customer Success,CS,US Remote,,2026-08-24,11,58,NEW,https://www.rubrik.com/company/careers/departments/job.8139767?gh\_jid=8139767  
gh:rubrik:8139783,Rubrik,"Manager, Customer Resilience Management - Customer Success",CS,US Remote,,2026-08-24,11,58,NEW,https://www.rubrik.com/company/careers/departments/job.8139783?gh\_jid=8139783  
ashby:synthesia:cb064c2f-467f-4bf5-9d31-9aa21cd0255b,Synthesia,Enterprise Customer Success Manager - German Speaker,CS,Munich; Remote,,2026-07-29,37,58,NEW,https://jobs.ashbyhq.com/synthesia/cb064c2f-467f-4bf5-9d31-9aa21cd0255b  
ashby:synthesia:243dc52d-8367-4ff9-9d71-8c41437ba6e1,Synthesia,"Revenue Enablement Manager, Onboarding",Implementation,New York City; Remote,,2026-08-25,10,58,NEW,https://jobs.ashbyhq.com/synthesia/243dc52d-8367-4ff9-9d71-8c41437ba6e1  
gh:toast:8145097,Toast,"Onboarding Consultant I, SMB - Bilingual Thai",Implementation,"Remote, US",,2026-08-25,10,58,NEW,https://careers.toasttab.com/jobs?gh\_jid=8145097  
gh:toast:8145099,Toast,"Onboarding Consultant I, SMB - Bilingual Vietnamese",Implementation,"Remote, US",,2026-08-25,10,58,NEW,https://careers.toasttab.com/jobs?gh\_jid=8145099  
gh:twilio:8162071,Twilio,Customer Success Manager,CS,Remote - US,,2026-09-03,1,58,NEW,https://job-boards.greenhouse.io/twilio/jobs/8162071  
gh:twilio:8153169,Twilio,Onboarding Operations Specialist 1,Implementation,Remote - Colombia,,2026-08-24,11,58,NEW,https://job-boards.greenhouse.io/twilio/jobs/8153169  
gh:twilio:8142281,Twilio,Onboarding Operations Specialist 1,Implementation,Remote - Colombia,,2026-08-19,16,58,NEW,https://job-boards.greenhouse.io/twilio/jobs/8142281  
gh:zocdoc:8178109,Zocdoc,"Specialist, Customer Experience",CS,USA Remote,,2026-09-04,0,58,NEW,https://job-boards.greenhouse.io/zocdoc/jobs/8178109  
gh:abnormalsecurity:7903003003,Abnormal Security,National Channel Account Manager- SHI,Sales,Remote - USA,,2026-08-19,16,56,NEW,https://abnormal.ai/careers/jobs/7903003003?gh\_jid=7903003003  
gh:affirm:7860703003,Affirm,Operations Enablement Lead,Enablement,Remote US,,2026-08-24,11,56,NEW,https://job-boards.greenhouse.io/affirm/jobs/7860703003  
gh:affirm:7814650003,Affirm,Operations Enablement Manager,Enablement,Remote US,,2026-08-10,25,56,NEW,https://job-boards.greenhouse.io/affirm/jobs/7814650003  
gh:carrotfertility:6143622004,Carrot Fertility,Sales Associate,Sales,Remote,,2026-08-14,21,56,NEW,https://job-boards.greenhouse.io/carrotfertility/jobs/6143622004  
gh:carrotfertility:6143618004,Carrot Fertility,"Sales Associate, Strategic & National",Sales,Remote,,2026-08-14,21,56,NEW,https://job-boards.greenhouse.io/carrotfertility/jobs/6143618004  
gh:gusto:8069947,Gusto,Expansion Account Manager Leader,Sales,"Atlanta, GA - Remote; Denver, CO - Hybrid; Phoenix, AZ - Remote",,2026-08-03,32,56,NEW,https://job-boards.greenhouse.io/gusto/jobs/8069947  
gh:honor:8784272002,Honor,Home Care Sales Representative ,Sales,Remote Position,,2026-09-04,0,56,NEW,https://boards.greenhouse.io/honor/jobs/8784272002?gh\_jid=8784272002  
gh:honor:8784341002,Honor,Inside Sales Manager,Sales,Remote Position,,2026-09-04,0,56,NEW,https://boards.greenhouse.io/honor/jobs/8784341002?gh\_jid=8784341002  
gh:humaninterest:8174129,Human Interest,Emerging Partner Account Manager - Reno,Sales,"United States, Remote",,2026-09-03,1,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8174129  
gh:humaninterest:8165305,Human Interest,Partner Account Manager - Atlanta,Sales,"Atlanta, GA Remote",,2026-09-02,2,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165305  
gh:humaninterest:8165334,Human Interest,Partner Account Manager - Boston,Sales,"Boston, MA Remote",,2026-09-02,2,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165334  
gh:humaninterest:8165362,Human Interest,Partner Account Manager- Bronx,Sales,"United States, Remote",,2026-08-31,4,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165362  
gh:humaninterest:8165336,Human Interest,Partner Account Manager - Brooklyn,Sales,"United States, Remote",,2026-08-31,4,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165336  
gh:humaninterest:8165303,Human Interest,Partner Account Manager - Charleston,Sales,"Charleston, SC Remote",,2026-09-02,2,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165303  
gh:humaninterest:8165338,Human Interest,Partner Account Manager - Charlotte,Sales,"Charlotte, NC Remote",,2026-08-31,4,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165338  
gh:humaninterest:8165326,Human Interest,Partner Account Manager- Knoxville/Chatanooga,Sales,"United States, Remote",,2026-08-31,4,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165326  
gh:humaninterest:8165370,Human Interest,Partner Account Manager - Las Vegas,Sales,"Las Vegas, NV Remote",,2026-08-31,4,56,NEW,https://job-boards.greenhouse.io/humaninterest/jobs/8165370  
